team,cnt,conf,div,division
ATL,10,1,3,Southeast
BKN,10,1,1,Atlantic
BOS,10,1,1,Atlantic
CHA,12,1,3,Southeast
CHI,11,1,2,Central
CLE,12,1,2,Central
DAL,11,0,6,Southwest
DEN,10,0,4,Northwest
DET,10,1,2,Central
GSW,12,0,5,Pacific
HOU,10,0,6,Southwest
IND,10,1,2,Central
LAC,13,0,5,Pacific
LAL,9,0,5,Pacific
MEM,13,0,6,Southwest
MIA,10,1,3,Southeast
MIL,12,1,2,Central
MIN,10,0,4,Northwest
NO,12,0,6,Southwest
NYK,8,1,1,Atlantic
OKC,12,0,4,Northwest
ORL,11,1,3,Southeast
PHI,10,1,1,Atlantic
PHO,12,0,5,Pacific
POR,11,0,4,Northwest
SAC,8,0,5,Pacific
SAS,11,0,6,Southwest
TOR,12,1,1,Atlantic
UTH,10,0,4,Northwest
WAS,10,1,3,Southeast
